time,price
1472838940,12.14
1472842541,12.15
1472846222,12.17
1472849907,12.10
1472853508,12.15
1472857110,12.18
1472860711,12.23
1472864312,12.16
1472867914,12.11
1472871514,12.08
1472875115,12.14
1472878716,12.19
1472882317,12.19
1472885918,12.32
1472889519,12.32
1472893119,12.31
1472896720,12.31
1472900321,12.25
1472903922,11.94
1472907523,11.88
1472911124,11.92
1472914725,11.95
1472918326,11.90
1472921926,11.79
1472925527,11.67
1472929128,11.71
1472932729,11.74
1472936330,11.68
1472939931,11.70
1472943532,11.68
1472947133,11.71
1472950734,11.82
1472954335,11.91
1472957936,11.89
1472961537,11.88
1472965137,11.75
1472968738,11.74
1472972339,11.80
1472975940,11.74
1472979540,11.65
1472983141,11.66
1472986742,11.70
1472990343,11.66
1472993944,11.65
1472997545,11.63
1473001147,11.67
1473004748,11.69
1473008349,11.70
1473011950,11.76
1473015551,11.76
1473019153,11.81
1473022754,11.84
1473026355,11.81
1473029956,11.81
1473033557,11.80
1473037159,11.74
1473040760,11.73
1473044362,11.73
1473047962,11.73
1473051564,11.70
1473055165,11.69
1473058765,11.69
1473062366,11.72
1473065967,11.77
1473069568,11.76
1473073168,11.77
1473076769,11.74
1473080370,11.73
1473083971,11.73
1473087571,11.71
1473091172,11.73
1473094773,11.79
1473098374,11.81
1473101976,11.79
1473105578,11.76
1473109182,11.76
1473112783,11.74
1473116384,11.71
1473119985,11.67
1473123587,11.65
1473127188,11.68
1473130788,11.72
1473134389,11.77
1473137990,11.76
1473141591,11.75
1473145192,11.71
1473148793,11.69
1473152394,11.69
1473155994,11.66
1473159596,11.69
1473163197,11.62
1473166798,11.56
1473170399,11.54
1473173999,11.53
1473177001,11.52
1473180602,11.52
1473184203,11.58
1473187804,11.64
1473191406,11.63
1473195007,11.61
1473198608,11.65
1473202309,11.64
1473205910,11.64
1473209511,11.66
1473213112,11.63
1473216713,11.66
1473220314,11.72
1473223915,11.71
1473227516,11.64
1473231116,11.71
1473234717,11.69
1473238318,11.68
1473241919,11.66
1473245520,11.67
1473249120,11.62
1473252721,11.65
1473256354,11.74
1473259955,11.73
1473263558,11.69
1473267159,11.70
1473270760,11.71
1473274362,11.68
1473277364,11.68
1473281665,11.69
1473285266,11.69
1473288867,11.62
1473292468,11.59
1473296068,11.57
1473299669,11.58
1473303271,11.59
1473306872,11.59
1473310472,11.60
1473314073,11.61
1473317674,11.61
1473321275,11.59
1473324875,11.61
1473328476,11.62
1473332077,11.64
1473335678,11.63
1473339279,11.68
1473342880,11.53
1473346480,11.51
1473350081,11.47
1473353682,11.38
1473357286,11.41
1473360887,11.44
1473364488,11.39
1473368089,11.37
1473371689,11.40
1473375293,11.46
1473378895,11.45
1473382538,11.40
1473386139,11.40
1473389740,11.43
1473393341,11.42
1473396941,11.44
1473400542,11.43
1473404143,11.42
1473407743,11.46
1473411344,11.52
1473414945,11.55
1473418546,11.56
1473422146,11.59
1473425747,11.56
1473429349,11.54
1473432949,11.51
1473436550,11.51
1473440151,11.53
1473443752,11.55
1473447353,11.55
1473450954,11.61
1473454554,11.69
1473458155,11.69
1473461756,11.68
1473465357,11.70
1473468958,11.67
1473472559,11.72
1473476160,11.67
1473479760,11.68
1473483361,11.68
1473486965,11.70
1473490566,11.74
1473494167,11.74
1473497767,11.71
1473501368,11.71
1473504969,11.69
1473508570,11.70
1473512170,11.65
1473515772,11.63
1473519373,11.65
1473522974,11.65
1473526575,11.68
1473530176,11.64
1473533777,11.63
1473537537,11.62
1473540730,11.58
1473544611,11.59
1473548214,11.59
1473551815,11.61
1473555416,11.69
1473559017,11.95
1473562617,12.05
1473566218,12.12
1473569819,12.12
1473573419,12.02
1473577020,12.01
1473580621,12.06
1473584222,12.07
1473587822,12.03
1473591423,12.00
1473595024,11.92
1473598625,11.89
1473602226,11.93
1473605827,11.90
1473609428,11.90
1473613028,11.95
1473616629,11.92
1473620231,11.88
1473623832,11.88
1473627432,11.90
1473631033,11.88
1473634634,11.84
1473638235,11.72
1473641836,11.70
1473645437,11.72
1473649038,11.70
1473652639,11.67
1473656240,11.72
1473659840,11.73
1473663441,11.69
1473667042,11.70
1473670643,11.74
1473674244,11.74
1473677845,11.82
1473681445,11.95
1473685046,11.95
1473688647,11.90
1473692249,11.81
1473695850,11.77
1473699450,11.89
1473703051,11.89
1473706652,11.81
1473710253,11.82
1473713853,11.83
1473717457,11.86
1473721058,11.83
1473724659,11.84
1473728259,11.86
1473731860,11.87
1473735461,11.90
1473739062,11.93
1473742663,11.91
1473746263,12.01
1473749864,12.07
1473753465,12.04
1473757066,12.05
1473760666,12.08
1473764267,12.09
1473767868,12.10
1473771469,12.09
1473775069,12.07
1473778671,12.04
1473782272,12.01
1473785873,12.14
1473789477,12.13
1473793078,12.08
1473796679,12.11
1473800279,12.11
1473803880,12.09
1473807490,12.09
1473811091,12.06
1473814692,12.02
1473818293,12.04
1473821894,12.00
1473825494,11.98
1473829095,12.00
1473832696,11.98
1473836297,12.04
1473839900,12.02
1473843501,12.02
1473847102,12.04
1473850703,12.01
1473854304,11.99
1473857956,11.99
1473861567,11.99
1473865168,12.03
1473868772,12.03
1473872372,12.03
1473875973,12.03
1473879574,12.01
1473883176,11.98
1473886777,12.01
1473890377,12.01
1473893978,11.97
1473897579,11.95
1473901180,11.95
1473904781,11.94
1473908381,11.96
1473911982,11.93
1473915583,11.97
1473919183,12.02
1473922784,12.02
1473926385,12.02
1473929985,12.05
1473933586,12.16
1473937187,12.12
1473940788,12.10
1473944388,12.13
1473947989,12.12
1473951590,12.13
1473955191,12.17
1473958792,12.15
1473962393,12.11
1473965993,12.08
1473969594,12.08
1473973195,12.04
1473976795,12.03
1473979827,12.05
1473983428,12.03
1473987028,12.00
1473990629,11.99
1473994230,11.96
1473997830,12.00
1474001431,12.03
1474005032,11.98
1474008633,11.98
1474012233,11.99
1474015834,11.99
1474019435,11.96
1474023035,11.97
1474026636,11.97
1474030237,11.98
1474033838,11.95
1474037439,11.97
1474041039,12.02
1474044640,12.09
1474048241,12.14
1474051842,12.25
1474055443,12.51
1474059043,12.69
1474062644,12.67
1474066246,12.59
1474069847,12.63
1474073447,12.54
1474077048,12.52
1474080649,12.54
1474084250,12.62
1474087850,12.55
1474091451,12.57
1474095051,12.51
1474098652,12.54
1474102253,12.52
1474105854,12.51
1474109454,12.53
1474113055,12.53
1474116656,12.57
1474120257,12.60
1474123857,12.65
1474127458,12.72
1474131060,12.77
1474134661,12.74
1474138263,12.70
1474141864,12.66
1474145465,12.65
1474149065,12.65
